"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Término,"Configuração de atribuição"
2025-06-11,2025-11-10,"Nova campanha de Vendas",inactive,,,,700,Diário,808.12,6966,3742,Ongoing,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2025-06-11,2025-11-10,"versao nova com novos conteudos",inactive,8,actions:offsite_conversion.fb_pixel_initiate_checkout,358.915,100,Diário,2871.32,76404,45005,Ongoing,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2025-06-11,2025-11-10,v2,active,56,actions:offsite_conversion.fb_pixel_add_payment_info,294.55964286,50,Diário,16495.34,534305,144359,Ongoing,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2025-06-11,2025-11-10,"[1][VENDA DIRETA][6/10/25]",inactive,,,,"Usando o orçamento do conjunto de anúncios",0,3269.69,269421,156180,Ongoing,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2025-06-11,2025-11-10,"[2][VENDA DIRETA][7/10/25] TESTE CONVERSÃO",inactive,,,,"Usando o orçamento do conjunto de anúncios",0,416.83,23324,21231,Ongoing,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2025-06-11,2025-11-10,"[3][POST INSTAGRAM][08/10/25]",inactive,56,profile_visit_view,1.57357143,"Usando o orçamento do conjunto de anúncios",0,88.12,2045,1695,Ongoing,"Clique de 7 dias ou visualização de 1 dia"
2025-06-11,2025-11-10,"[4][TIME COMERCIAL][9/10/25]",inactive,2867,actions:link_click,0.22106034,"Usando o orçamento do conjunto de anúncios",0,633.78,134664,81231,Ongoing,"Clique de 7 dias ou visualização de 1 dia"
2025-06-11,2025-11-10,"[5][VENDA DIRETA][CRIATIVOS ESTATICOS][14/10/25]",active,3,actions:offsite_conversion.fb_pixel_add_payment_info,336.52666667,"Usando o orçamento do conjunto de anúncios",0,1009.58,44386,17588,Ongoing,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2025-06-11,2025-11-10,"[6][REMARKETING][CRIATIVOS DIVERSOS][14/10/25]",inactive,4,actions:offsite_conversion.fb_pixel_add_payment_info,292.1525,"Usando o orçamento do conjunto de anúncios",0,1168.61,38634,17157,Ongoing,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2025-06-11,2025-11-10,"[7][VENDA][LP NOVA EMPREENDEDORES][16/10/25]",active,6,actions:offsite_conversion.fb_pixel_add_payment_info,207.83333333,50,Diário,1247,33339,6709,Ongoing,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2025-06-11,2025-11-10,"[8]TESTE A/B LANDING PAGE EMPREENDEDORES]16/10/25]",active,3,actions:offsite_conversion.fb_pixel_add_payment_info,258.48333333,50,Diário,775.45,11917,5338,Ongoing,"Clique de 7 dias ou visualização de 1 dia"
2025-06-11,2025-11-10,"[9][LP CAIO-OFERTA][16/10/25]",active,4,actions:offsite_conversion.fb_pixel_add_payment_info,555.9425,"Usando o orçamento do conjunto de anúncios",0,2223.77,76209,32610,Ongoing,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2025-06-11,2025-11-10,"[10]]LPs DE TESTES 3 PERSONAS][17/10/25]",active,96,actions:offsite_conversion.fb_pixel_lead,29.66364583,130,Diário,2847.71,35317,21210,Ongoing,"Clique de 7 dias ou visualização de 1 dia"
2025-06-11,2025-11-10,"[11][LISTAS CAIO][LAL&RMKT][22/10/25]",active,5,actions:offsite_conversion.fb_pixel_add_payment_info,365.982,"Usando o orçamento do conjunto de anúncios",0,1829.91,50143,13578,Ongoing,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2025-06-11,2025-11-10,"[12][AI EXPERIENCE][INTERESSES][03/11/25]",active,1,actions:offsite_conversion.fb_pixel_add_payment_info,780.05,70,Diário,780.05,17734,8524,Ongoing,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2025-06-11,2025-11-10,"[13][DEPOIMENTOS][BRANDIND AWARENESS][03/11/25]",active,22165,video_thruplay_watched_actions,0.01964403,50,Diário,435.41,109123,96956,Ongoing,"Clique de 7 dias ou visualização de 1 dia"
2025-06-11,2025-11-10,"[14][TOFU]SITE INSTITUCIONAL][03/10/25]",active,60,actions:offsite_conversion.fb_pixel_lead,17.20616667,200,Diário,1032.37,41195,28598,Ongoing,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2025-06-11,2025-11-10,"[15][REMARKETING][CONTEUDOS AI BRASIL][07/11/25]",active,,,,"Usando o orçamento do conjunto de anúncios",0,717.31,10161,4571,Ongoing,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
