Campaign name,Amount spent (BRL),Impressions,Link clicks,Results,Cost per result
VENDA-EMPREENDEDORES,1236.50,45230,892,42,29.44
RETARGETING-ENGAJADOS,850.00,28940,654,30,28.33
LAL-PAGANTES,2100.00,67800,1234,60,35.00
TESTE-JOVENS,1520.00,52000,723,24,63.33
COLD-AUDIENCIA-AMPLA,3200.00,120000,1890,85,37.65
LP-FORMACAO-EXECUTIVA,980.00,34500,512,28,35.00
REMARKETING-CARRINHO,450.00,15600,298,18,25.00
LOOKALIKE-ATIVADOS,1780.00,62300,1123,51,34.90
INTERESSE-IA-BRASIL,2400.00,89000,1567,72,33.33
VIDEO-TRANSFORMACAO-DIGITAL,1650.00,58000,943,38,43.42
